male,female
машиніст,машиністка
медаліст,медалістка
медбрат,медсестра
медик,медикиня
медіатор,медіаторка
медійник,медійниця
мексиканець,мексиканка
меломан,меломанка
мемуарист,мемуаристка
менеджер,менеджерка
ментор,менторка
мер,"пані мер, очільниця міста, міська голова"
мерчандайзер,мерчандайзерка
метальник,метальниця
метеоролог,метеорологиня
методист,методистка
меценат,меценатка
мешканець,мешканка
милостивець,милостивиця
миротворець,миротвориця
мисливець,мисливиця
мистецтвознавець,мистецтвознавиця
митець,мисткиня
митник,працівниця митниці
модельєр,модельєрка
модератор,модераторка
молдаванин,молдаванка
монарх,монархиня
монархіст,монархістка
монгол,монголка
монтажник,монтажниця
мораліст,моралістка
мрійник,мрійниця
музейник,музейниця
музеєзнавець,музеєзнавиця
музикант,музикантка
музикознавець,музикознавиця
муляр,мулярка
муніципал,муніципалка
мігрант,мігрантка
мізантроп,мізантропка
мізогін,мізогінка
мільйонер,мільйонерка
мільярдер,мільярдерка
мінометник,мінометниця
мінімаліст,мінімалістка
міністр,міністерка
міфолог,міфологиня
наглядач,наглядачка
найманець,найманка
наймит,наймичка
намісник,намісниця
нападник,нападниця
напарник,напарниця
наречений,наречена
наслідувач,наслідувачка
насмішник,насмішниця
наставник,наставниця
натураліст,натуралістка
натурник,натурниця
натхненник,натхненниця
науковець,науковця
нахаба,нахаба
нацист,нацистка
націоналіст,націоналістка
начальник,начальниця
небіжчик,небіжчиця
невдаха,невдаха
невидимка,невидимка
невролог,неврологиня
невропатолог,невропатологиня
невіглас,невігласка
невільник,невільниця
негідник,негідниця
нездара,нездара
незнайомець,незнайомка
нелегал,нелегалка
ненависник,ненависниця
неонатолог,неонатологиня
неофіт,неофітка
неповнолітній,неповнолітня
нероба,нероба
неук,неучка
неформал,неформалка
нечепура,нечепура
новак,новачка
норвежець,норвежка
нормандець,нормандка
носій,носійка
нудист,нудистка
нумізмат,нумізматка
нутриціолог,нутриціологиня
нянь,няня
нігіліст,нігілістка
нідерландець,нідерландка
нікчема,нікчема
німець,"німка, німкеня"
обліковець,обліковиця
обранець,"обранка, обраниця"
об’єктивіст,об’єктивістка
об’їздник,об’їздниця
оглядач,оглядачка
одинак,одиначка
однодумець,однодумиця
однокласник,однокласниця
одноліток,однолітка
односелець,односелка
односельчанин,односельчанка
оздоблювальник,оздоблювальниця
окуліст,окулістка
олігарх,олігархиня
олімпієць,олімпійка
оператор,операторка
оповідач,оповідачка
опозиціонер,опозиціонерка
ополченець,ополченка
опонент,опонентка
опортуніст,опортуністка
оптимізатор,оптимізаторка
оптиміст,оптимістка
опікун,опікунка
оратор,ораторка
організатор,організаторка
органіст,органістка
орнітолог,орнітологиня
орієнталіст,орієнталістка
освітянин,освітянка
острів’янин,острів’янка
отаман,отаманка
отоларинголог,отоларингологиня
отримувач,отримувачка
оформлювач,оформлювачка
офтальмолог,офтальмологиня
офіцер,офіцерка
офіціант,офіціантка
охоронник,охоронниця
оцінювач,оцінювачка
очевидець,очевидиця
очільник,очільниця
пакистанець,пакистанка
палеонтолог,палеонтологиня
палестинець,палестинка
паломник,паломниця
палітурник,палітурниця
памфлетист,памфлетистка
пан,пані
пантеїст,пантеїстка
парагваєць,парагвайка
паразит,паразитка
паралімпієць,паралімпійка
парапланерист,парапланеристка
парафіянин,парафіянка
парашутист,парашутистка
парламентар,парламентарка
пародист,пародистка
партнер,партнерка
партієць,партійка
парфумер,парфумерка
пасажир,пасажирка
паспортист,паспортистка
пастух,пастушка
пасічник,пасічниця
патологоанатом,паталогоанатомка
патрульний,патрульна
патріот,патріотка
пауерліфтер,пауерліфтерка
пацифіст,пацифістка
пацієнт,пацієнтка
педагог,педагогиня
педант,педантка
педіатр,педіатриня
пейзажист,пейзажистка
пекар,пекарка
пенсіонер,пенсіонерка
перебіжник,перебіжчиця
перевізник,перевізниця
передплатник,передплатниця
перекладач,перекладачка
перекупник,перекупниця
перелюбник,перелюбниця
переможець,переможниця
переселенець,переселенка
перукар,перукарка
першовідкривач,першовідкривачка
першокласник,першокласниця
першокурсник,першокурсниця
песиміст,песимістка
писанкар,писанкарка
письменник,письменниця
плавець,плавчиня
плакса,плакса
пластун,пластунка
платник,платниця
племінник,племінниця
пліткар,пліткарка
поборник,поборниця
поводир,проводирка
повстанець,повстанка
подорожній,подорожня
поет,"поетка, поетеса"
пожежник,пожежниця
позивач,позивачка
позичальник,позичальниця
покупець,покупчиня
покійник,покійниця
полеміст,полемістка
полковник,полковниця
полководець,полководиця
полоніст,полоністка
поляк,полька
полярник,полярниця
полісянин,полісянка
політик,політикиня
політолог,політологиня
політтехнолог,політтехнологиня
поліцейський,поліцейська
помічник,помічниця
попутник,попутниця
порадник,порадниця
португалець,португалка
порушник,порушниця
посадовець,посадовиця
поселенець,поселенка
посередник,посередниця
посланник,посланниця
послушник,послушниця
послідовник,послідовниця
посол,"посолка, амбасадорка"
постановник,постановниця
постачальник,постачальниця
постраждалий,постраждала
посіпака,посіпака
потерпілий,потерпіла
потопельник,потопельниця
похресник,похресниця
поціновував,поціновувачка
початківець,початківиця
поштар,поштарка
праведник,праведниця
правозахисник,правозахисниця
правознавець,правознавиця
правонаступник,правонаступниця
правоохоронець,правоохоронниця
правопорушник,правопорушниця
працедавець,працедавиця
працелюбець,працелюбиця
працівник,працівниця
представник,представниця
президент,президентка
прем’єр,прем’єрка
прем’єр-міністр,прем’єр-міністерка
пресофіцер,пресофіцерка
прессекретар,прессекретарка
претендент,претендентка
прибиральник,прибиральниця
приблуда,приблуда
приборкувач,приборкувачка
призер,призерка
прикордонник,прикордонниця
принц,принцеса
прислужник,прислужниця
приятель,приятелька
провідник,провідниця
провізор,провізорка
провісник,провісниця
програміст,програмістка
продавець,продавчиня
продюсер,продюсерка
пройдисвіт,пройдисвітка
прокурор,прокурорка
промоутер,промоутерка
проректор,проректорка
просвітитель,просвітителька
професор,професорка
професіонал,професіоналка
психолог,психологиня
психотерапевт,психотерапевтка
психіатр,психіатриня
публіцист,публіцистка
піаніст,піаністка
піарник,піарниця
підбурювач,підбурювачка
підлеглий,підлегла
підлиза,підлиза
підліток,підлітка
підозрюваний,підозрювана
підопічний,підопічна
підписант,підписантка
підполковник,підполковниця
підприємець,підприємиця
підсудний,підсудна
піклувальник,піклувальниця
пілот,пілотеса
пірнальник,пірнальниця
пішохід,пішохідка
рабовласник,рабовласниця
радикал,радикала
радист,радистка
радник,радниця
расист,расистка
реабілітолог,реабілітологиня
реалізатор,реалізаторка
реаніматолог,реаніматологиня
ревматолог,ревматологиня
революціонер,революціонерка
ревізор,ревізорка
редактор,редакторка
режисер,режисера
резервіст,резервістка
рекордсмен,рекордсменка
ректор,ректорка
релігієзнавець,релігієзнавиця
ремонтник,ремонтниця
ремісник,ремісниця
репер,реперка
репетитор,репетиторка
репортер,репортерка
респондент,респондентка
реставратор,реставраторка
ресторатор,рестораторка
референт,референтка
реформатор,реформаторка
рецензент,рецензентка
речник,речниця
реєстратор,реєстраторка
рибалка,рибалка
робітник,робітниця
ровесник,ровесниця
родич,родичка
розбійник,розбійниця
розвідник,розвідниця
розкрадач,розкрадачка
розпорядник,розпорядниця
розробник,розробниця
розслідувач,розслідувачка
розумник,розумниця
рятувальник,рятувальниця
рятівник,рятівниця
ріелтор,ріелторка
саботажник,саботажниця
садист,садистка
садівник,садівниця
саксофоніст,саксофоністка
самарянин,самарянка
самозванець,самозванка
самолюб,самолюбка
самоїд,самоїдка
самітник,самітниця
санітар,санітарка
священник,священниця
свідок,свідка
секретар,секретарка
сексист,сексистка
сексолог,сексологиня
селекціонер,селекціонерка
сенатор,сенаторка
серб,сербка
сердега,сердега
серцеїд,серцеїдка
сибіряк,сибірячка
симулянт,симулянтка
синоптик,синоптикиня
сирота,сирота
сицилієць,сицилійка
скандаліст,скандалістка
скандинавець,скандинавка
скелелаз,скелелазка
скрипаль,скрипалька
скульптор,скульпторка
скутерист,скутеристка
словак,словачка
службовець,службовиця
служитель,служителька
служник,служниця
слухач,слухачка
слюсар,слюсарка
слідчий,слідча
сміливець,сміливиця
снайпер,снайперка
сноубордист,сноубордистка
солдат,солдатка
соліст,солістка
сомалієць,сомалійка
соратник,соратниця
сортувальник,сортувальниця
соціаліст,соціалістка
соціолог,соціологиня
союзник,союзниця
спадкоємець,спадкоємиця
спеціаліст,спеціалістка
споживач,споживачка
спокусник,спокусниця
спортсмен,спортсменка
спостерігач,спостерігачка
спринтер,спринтерка
співак,співачка
співвітчизник,співвітчизниця
співзасновник,співзасновниця
співмешканець,співмешканка
співорганізатор,співорганізаторка
співробітник,співробітниця
співрозмовник,співрозмовниця
спікер,спікерка
спілчанин,спілчанка
спільник,спільниця
стажер,стажерка
станичний,станична
старожил,старожилка
староста,староста
статист,статистка
стиліст,стилістка
стипендіат,стипендіатка
стоматолог,стоматологиня
страхувальник,страхувальниця
стрілець,стрільчиня
студент,студентка
стюард,стюардеса
суддя,суддя
супервайзер,супервайзерка
супервізор,супервізорка
суперник,суперниця
супутник,супутниця
сусід,сусідка
сценарист,сценаристка
сіоніст,сіоністка
таксист,таксистка
танкіст,танкістка
танцюрист,танцюристка
танцівник,танцівниця
творець,творчиня
театрал,театралка
телеведучий,телеведуча
телепат,телепатка
телефоніст,телефоністка
тенісист,тенісистка
теоретик,теоретикиня
терапевт,терапевтка
терорист,терористка
технолог,технологиня
товариш,товаришка
токар,токарка
торгівельник,торгівельниця
травматолог,травматологиня
травник,травниця
традиціоналіст,традиціоналістка
тракторист,трактористка
тренер,тренерка
трудівник,трудівниця
турист,туристка
тьютор,тьюторка
тюремник,тюремниця
тіктокер,тіктокерка
убивця,убивця
ув’язнений,ув’язнена
узурпатор,узурпаторка
укладач,укладачка
улюбленець,улюблениця
уповноважений,уповноважена
упорядник,упорядниця
управитель,управителька
управлінець,управлінка
упівець,упівка
уродженець,уродженка
уролог,урологиня
урядовець,урядовця
утопленик,утоплениця
утікач,утікачка
учасник,учасниця
учений,учена
учень,учениця
учитель,учителька
учитель,учителька
фаворит,фаворитка
фальсифікатор,фальсифікаторка
фанат,фанатка
фантазер,фантазерка
фантаст,фантастка
фарисей,фарисейка
фармаколог,фармакологиня
фармацевт,фармацевтка
фасилітатор,фасилітаторка
фасувальник,фасувальниця
фаталіст,фаталістка
фахівець,фахівчиня
фашист,фашистка
фельдшер,фельдшерка
фемініст,феміністка
феодал,феодалка
фермер,фермерка
флорист,флористка
фольклорист,фольклористка
